node_id,x_coord,y_coord,meso_link_id,lane_no
0,-14.9272,-23.0498,0,1
1,-7.92805,-23.1586,0,1
2,-0.928896,-23.2674,0,1
3,6.07026,-23.3762,0,1
4,13.0694,-23.4851,0,1
5,17.4737,-23.5535,0,1
6,-14.8728,-19.5502,0,2
7,-7.87364,-19.659,0,2
8,-0.874487,-19.7679,0,2
9,6.12467,-19.8767,0,2
10,13.1238,-19.9855,0,2
11,17.5281,-20.054,0,2
10000,40.0067,-7.64999,1,1
10001,47.0067,-7.62308,1,1
10002,54.0066,-7.59616,1,1
10003,61.0066,-7.56925,1,1
10004,68.0065,-7.54234,1,1
10005,73.0012,-7.52314,1,1
10006,39.9933,-4.15001,1,2
10007,46.9932,-4.1231,1,2
10008,53.9932,-4.09619,1,2
10009,60.9931,-4.06928,1,2
10010,67.9931,-4.04236,1,2
10011,72.9877,-4.02316,1,2
20000,36.5922,-61.5833,2,1
20001,43.5921,-61.5478,2,1
20002,50.592,-61.5124,2,1
20003,57.5919,-61.4769,2,1
20004,64.5918,-61.4414,2,1
20005,71.5918,-61.4059,2,1
20006,78.5917,-61.3705,2,1
20007,85.9255,-61.3333,2,1
20008,36.5745,-58.0834,2,2
20009,43.5744,-58.0479,2,2
20010,50.5743,-58.0124,2,2
20011,57.5742,-57.9769,2,2
20012,64.5741,-57.9415,2,2
20013,71.574,-57.906,2,2
20014,78.5739,-57.8705,2,2
20015,85.9078,-57.8334,2,2
30000,96.9217,-21.9167,3,1
30001,103.922,-21.8964,3,1
30002,110.922,-21.8761,3,1
30003,118.519,-21.8542,3,1
30004,96.9116,-18.4167,3,2
30005,103.912,-18.3964,3,2
30006,110.912,-18.3762,3,2
30007,118.509,-18.3542,3,2
40000,23.657,-16.672,4,1
40001,29.7858,-13.29,4,1
40002,35.9146,-9.90809,4,1
50000,20.862,-29.6788,5,1
50001,24.2504,-35.8041,5,1
50002,27.6387,-41.9295,5,1
50003,31.027,-48.0548,5,1
50004,34.4153,-54.1801,5,1
60000,79.3712,-10.4253,6,1
60001,85.7412,-13.3275,6,1
60002,92.1113,-16.2297,6,1
70000,87.96,-51.141,7,1
70001,90.0123,-44.4485,7,1
70002,92.0645,-37.7561,7,1
70003,94.1168,-31.0637,7,1
